1,1,2
1,2,5
1,3,1
1,4,3
1,5,1
1,6,5
1,7,3
1,8,5
1,9,3
1,10,5
1,11,3
1,12,5
1,13,4
1,14,1
1,15,1
1,16,2
1,17,5
1,18,3
1,19,5
1,20,2
1,21,2
1,22,3
1,23,3
1,24,2
2,1,1
2,2,5
2,3,2
2,4,2
2,5,2
2,6,4
2,7,5
2,8,5
2,9,4
2,10,1
2,11,2
2,12,4
2,13,1
2,14,2
2,15,5
2,16,4
2,17,5
2,18,2
2,19,5
2,20,1
2,21,4
2,22,2
2,23,3
2,24,2
3,1,1
3,2,1
3,3,3
3,4,4
3,5,2
3,6,3
3,7,4
3,8,4
3,9,3
3,10,4
3,11,4
3,12,4
3,13,1
3,14,5
3,15,3
3,16,1
3,17,5
3,18,1
3,19,5
3,20,3
3,21,4
3,22,2
3,23,1
3,24,2
4,1,4
4,2,5
4,3,5
4,4,4
4,5,1
4,6,5
4,7,3
4,8,5
4,9,2
4,10,3
4,11,2
4,12,3
4,13,3
4,14,2
4,15,2
4,16,3
4,17,2
4,18,3
4,19,4
4,20,4
4,21,3
4,22,2
4,23,1
4,24,5
5,1,2
5,2,2
5,3,3
5,4,5
5,5,2
5,6,4
5,7,1
5,8,1
5,9,3
5,10,5
5,11,2
5,12,4
5,13,2
5,14,1
5,15,5
5,16,4
5,17,5
5,18,4
5,19,5
5,20,5
5,21,2
5,22,5
5,23,2
5,24,4
6,1,5
6,2,2
6,3,2
6,4,2
6,5,2
6,6,5
6,7,2
6,8,4
6,9,1
6,10,1
6,11,3
6,12,2
6,13,1
6,14,2
6,15,1
6,16,5
6,17,2
6,18,3
6,19,2
6,20,1
6,21,3
6,22,5
6,23,5
6,24,3
7,1,5
7,2,2
7,3,3
7,4,4
7,5,2
7,6,5
7,7,2
7,8,3
7,9,4
7,10,5
7,11,2
7,12,5
7,13,3
7,14,3
7,15,5
7,16,5
7,17,4
7,18,1
7,19,2
7,20,2
7,21,3
7,22,2
7,23,4
7,24,1
8,1,1
8,2,4
8,3,5
8,4,2
8,5,3
8,6,2
8,7,5
8,8,1
8,9,3
8,10,2
8,11,1
8,12,4
8,13,4
8,14,3
8,15,3
8,16,3
8,17,1
8,18,5
8,19,4
8,20,4
8,21,4
8,22,5
8,23,2
8,24,3
9,1,3
9,2,4
9,3,5
9,4,2
9,5,3
9,6,5
9,7,2
9,8,2
9,9,5
9,10,3
9,11,4
9,12,5
9,13,2
9,14,5
9,15,3
9,16,4
9,17,4
9,18,3
9,19,1
9,20,3
9,21,1
9,22,4
9,23,3
9,24,1
10,1,3
10,2,1
10,3,2
10,4,4
10,5,2
10,6,1
10,7,4
10,8,5
10,9,3
10,10,3
10,11,1
10,12,4
10,13,5
10,14,4
10,15,5
10,16,5
10,17,3
10,18,5
10,19,1
10,20,5
10,21,3
10,22,5
10,23,2
10,24,2
11,1,3
11,2,3
11,3,4
11,4,1
11,5,2
11,6,1
11,7,2
11,8,4
11,9,2
11,10,2
11,11,5
11,12,4
12,1,5
12,2,5
12,3,3
12,4,1
12,5,2
12,6,3
12,7,3
12,8,4
12,9,1
12,10,5
12,11,5
12,12,3
13,1,1
13,2,4
13,3,5
13,4,2
13,5,5
13,6,1
13,7,2
13,8,2
13,9,5
13,10,3
13,11,2
13,12,3
14,1,2
14,2,4
14,3,5
14,4,2
14,5,5
14,6,3
14,7,3
14,8,5
14,9,3
14,10,4
14,11,5
14,12,4
15,1,4
15,2,1
15,3,2
15,4,2
15,5,1
15,6,2
15,7,4
15,8,1
15,9,1
15,10,1
15,11,4
15,12,3
